procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0 2087084 456256 143872 2065076   10   29   430   118  180   62 21 10 70  0  0
 1  0 2087084 442380 143872 2078008    0    0     0     0  940 1174  1  2 97  0  0
 0  0 2087084 442128 143880 2078012    0    0     0    64  568  706  1  1 98  0  0
 0  0 2087084 441876 143880 2078012    0    0     0     0  756 1103  2  1 97  0  0
 0  0 2087084 441876 143880 2078012    0    0     0     0  479  579  1  1 98  0  0
 0  0 2087084 440868 143880 2078012    0    0     0     0  535  609  1  1 98  0  0
 0  0 2087084 440616 143880 2078012    0    0     0     0  496  646  1  1 98  0  0
 1  0 2087084 440236 143888 2078144    0    0     0    64  842 1056  3  2 95  0  0
 0  0 2087084 439992 143904 2078128    0    0     0   128  578  694  1  1 98  1  0
 0  0 2087084 440496 143904 2078144    0    0     0     0  458  599  1  1 98  0  0
